epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3439.2,1.23863,2.57829,1.87281,0.50113,0.41249,0.43255,0.20993,1.82013,2.4521,2.29331,0.000416086,0.000416086,0.000416086
2,6705.73,1.175,1.76506,1.81008,0.63807,0.42982,0.48084,0.23965,1.80684,2.06381,2.33972,0.00075031,0.00075031,0.00075031
3,9942.16,1.14162,1.6091,1.79058,0.62062,0.42844,0.50597,0.26352,1.63933,1.95844,2.10047,0.00100203,0.00100203,0.00100203
4,13217.4,1.09677,1.49007,1.73926,0.64225,0.5495,0.59352,0.31775,1.6116,1.69993,2.06846,0.00087875,0.00087875,0.00087875
5,16348.9,1.05465,1.36617,1.69437,0.69579,0.5525,0.64986,0.38454,1.49122,1.51208,1.93134,0.000755,0.000755,0.000755
6,19638.8,1.01581,1.2619,1.65064,0.63871,0.55247,0.61582,0.37874,1.46056,1.53531,1.91532,0.00063125,0.00063125,0.00063125
7,22927.3,0.98861,1.18685,1.61759,0.68171,0.64358,0.70486,0.42678,1.41871,1.34347,1.81621,0.0005075,0.0005075,0.0005075
8,26191.4,0.96278,1.09503,1.59307,0.71238,0.63715,0.71564,0.4389,1.39129,1.32617,1.75252,0.00038375,0.00038375,0.00038375
9,29444.1,0.93896,1.02944,1.56377,0.76159,0.68389,0.76816,0.48037,1.35275,1.2302,1.73322,0.00026,0.00026,0.00026
10,32687.5,0.91604,0.96163,1.53895,0.76708,0.72349,0.78415,0.50028,1.33304,1.16749,1.7362,0.00013625,0.00013625,0.00013625
